,,,,,,,,,,,,,,,
Date,Day,High / Low,High / Low,Start Point,End point,ADR Model,Broken/Intact ADR,ODR Model,Broken/Intact ODR,RDR Model,Srart Point with session,End Point with session,Model Combinations,,
02/01/2019,Wednesday,Low RDR,High RDR,Max+ Red,Max+ Green,UX,Intact,DXP,Broken,RX,RDR Max+ Red,RDR Max+ Green,UX - DXP - RX,,
03/01/2019,Thursday,Low ODR,High ODR,Min Med Red,Max+ Green,RC,Broken,RC,Intact,UXP,ODR Min Med Red,ODR Max+ Green,RC - RC - UXP,,
04/01/2019,Friday,Low ODR,High RDR,Med Max Green,Max+ Green,RC,Intact,UXP,Broken,UXP,ODR Med Max Green,RDR Max+ Green,RC - UXP - UXP,,
07/01/2019,Monday,Low TRN,High RDR,Med Max Red,Med Max Green,RC,Broken,UXP,Broken,RX,TRN Med Max Red,RDR Med Max Green,RC - UXP - RX,,
08/01/2019,Tuesday,Low ODR,High RDR,Zero Min Red,Med Max Green,RC,Broken,DXP,Intact,UXP,ODR Zero Min Red,RDR Med Max Green,RC - DXP - UXP,,
09/01/2019,Wednesday,Low ODR,High RDR,Min Med Red,Med Max Green,UXP,Broken,RC,Intact,UXP,ODR Min Med Red,RDR Med Max Green,UXP - RC - UXP,,
10/01/2019,Thursday,Low RDR,High RDR,Min Med Red,Med Max Green,UXP,Broken,DXP,Intact,RX,RDR Min Med Red,RDR Med Max Green,UXP - DXP - RX,,
11/01/2019,Friday,High ODR,Low RDR,Med Max Green,Max+ Red,UXP,Intact,UXP,Broken,DXP,ODR Med Max Green,RDR Max+ Red,UXP - UXP - DXP,,
14/01/2019,Monday,High RDR,Low RDR,Min Med Green,Med Max Red,U,Broken,DXP,Intact,UX,RDR Min Med Green,RDR Med Max Red,U - DXP - UX,,
15/01/2019,Tuesday,Low ODR,High RDR,Min Med Red,Max+ Green,DX,Broken,U,Intact,UXP,ODR Min Med Red,RDR Max+ Green,DX - U - UXP,,
16/01/2019,Wednesday,High ODR,Low RDR,Min Med Green,Med Max Red,UX,Broken,UXP,Broken,DX,ODR Min Med Green,RDR Med Max Red,UX - UXP - DX,,
17/01/2019,Thursday,Low RDR,High RDR,Med Max Red,Med Max Green,RC,Broken,DXP,Broken,DXP,RDR Med Max Red,RDR Med Max Green,RC - DXP - DXP,,
18/01/2019,Friday,Low RDR,High RDR,Zero Min Red,Med Max Green,UXP,Broken,RC,Broken,RX,RDR Zero Min Red,RDR Med Max Green,UXP - RC - RX,,
