Date ,Day,High / Low,High / Low,Start Point,End point,ADR Model,Broken/Intact ADR,ODR Model,Broken/Intact ODR,RDR Model,ODR Broke ADR,TRN Broke ADR,Start Point with session,End Point with session
02/01/2019,Wednesday,Low ODR,High RDR,Max+ Red,Zero Min Green,UXP,Broken by RDR,DXP,Broken by ODR,UX,No,,ODR Max+ Red,RDR Zero Min Green
03/01/2019,Thursday,High RDR,Low RDR,Zero Min Green,Zero Min Red,RC,Broken by ADR,RX,Broken by RDR,RX,No,,RDR Zero Min Green,RDR Zero Min Red
04/01/2019,Friday,,,,,,,,,,,,,
07/01/2019,Monday,Low ODR,High RDR,Min Med Red,Max+ Green,UXP,Intact,DXP,Broken by ODR,RX,No,,ODR Min Med Red,RDR Max+ Green
08/01/2019,Tuesday,High RDR,Low RDR,Med Max Green,Med Max Red,UXP,Broken by ADR,UXP,Broken by RDR,RX,No,,RDR Med Max Green,RDR Med Max Red
09/01/2019,Wednesday,,,,,,,,,,,,,
10/01/2019,Thursday,,,,,,,,,,,,,
11/01/2019,Friday,,,,,,,,,,,,,
14/01/2019,Monday,Low ODR,High RDR,Min Med Red,Med Max Green,RC,Intact,DXP,Broken by ODR,RX,No,,ODR Min Med Red,RDR Med Max Green
15/01/2019,Tuesday,,,,,,,,,,,,,
16/01/2019,Wednesday,,,,,,,,,,,,,
17/01/2019,Thursday,Low ODR,High RDR,Min Med Red,Max+ Green,DXP,Broken by RDR,DXP,Intact,UXP,No,,ODR Min Med Red,RDR Max+ Green
18/01/2019,Friday,,,,,,,,,,,,,
21/01/2019,Monday,High ODR,Low RDR,Zero Min Green,Zero Min Red,UXP,Broken by ADR,DX,Broken by ODR,DXP,No,,ODR Zero Min Green,RDR Zero Min Red
22/01/2019,Tuesday,,,,,,,,,,,,,
23/01/2019,Wednesday,High RDR,Low RDR,Med Max Green,Min Med Green,DXP,Broken by ADR,DX,Broken by RDR,UX,No,,RDR Med Max Green,RDR Min Med Green
24/01/2019,Thursday,High RDR,Low RDR,Min Med Green,Med Max Red,DX,Broken by ODR,D,Broken by ODR,U,No,,RDR Min Med Green,RDR Med Max Red
25/01/2019,Friday,Low ODR,High RDR,Zero Min Red,Med Max Green,RC,Intact,UXP,Intact,UXP,No,,ODR Zero Min Red,RDR Med Max Green
28/01/2019,Monday,High ODR,Low RDR,Zero Min Green,Med Max Red,DX,Intact,DXP,Intact,DXP,No,,ODR Zero Min Green,RDR Med Max Red
29/01/2019,Tuesday,High RDR,Low RDR,Min Med Green,Med Max Red,RC,Broken by RDR,UXP,Broken by RDR,UXP,No,,RDR Min Med Green,RDR Med Max Red
30/01/2019,Wednesday,,,,,,,,,,,,,
31/01/2019,Thursday,Low TRN,High RDR,Min Med Red,Med Max Green,UXP,Broken by ODR,UXP,Broken by RDR,RX,Yes,,TRN Min Med Red,RDR Med Max Green
01/02/2019,Friday,,,,,,,,,,,,,
04/02/2019,Monday,Low RDR,High RDR,Min Med Red,Med Max Green,RC,Broken by ODR,DXP,Broken by ODR,RX,Yes,,RDR Min Med Red,RDR Med Max Green
05/02/2019,Tuesday,Low ODR,High RDR,Zero Min Red,Med Max Green,UXP,Broken by ADR,U,Intact,UXP,No,,ODR Zero Min Red,RDR Med Max Green
06/02/2019,Wednesday,High RDR,Low RDR,Min Med Green,Zero Min Red,UX,Broken by ADR,DXP,Broken by RDR,RX,No,,RDR Min Med Green,RDR Zero Min Red
07/02/2019,Thursday,High ODR,Low RDR,Zero Min Green,Max+ Red,DX,Broken by ODR,DX,Intact,DXP,Yes,,ODR Zero Min Green,RDR Max+ Red
08/02/2019,Friday,Low RDR,High RDR,Min Med Red,Med Max Green,DXP,Broken by ODR,D,Broken by RDR,DX,No,,RDR Min Med Red,RDR Med Max Green
11/02/2019,Monday,High ODR,Low RDR,Min Med Green,Min Med Red,UXP,Broken by ADR,UX,Broken by RDR,RC,No,,ODR Min Med Green,RDR Min Med Red
12/02/2019,Tuesday,,,,,,,,,,,,,
13/02/2019,Wednesday,,,,,,,,,,,,,
14/02/2019,Thursday,,,,,,,,,,,,,
15/02/2019,Friday,Low ODR,High RDR,Zero Min Red,Max+ Green,RC,Broken by ODR,DXP,Intact,UXP,Yes,,ODR Zero Min Red,RDR Max+ Green
18/02/2019,Monday,Low ODR,High RDR,Zero Min Red,Zero Min Green,UXP,Broken by ODR,RC,Broken by ODR,U,No,,ODR Zero Min Red,RDR Zero Min Green
19/02/2019,Tuesday,Low TRN,High RDR,Zero Min Red,Med Max Green,D,Broken by ADR,DX,Broken by RDR,D,No,,TRN Zero Min Red,RDR Med Max Green
20/02/2019,Wednesday,,,,,,,,,,,,,
21/02/2019,Thursday,High ODR,Low RDR,Zero Min Green,Med Max Red,UX,Broken by ODR,UX,Intact,DXP,Yes,,ODR Zero Min Green,RDR Med Max Red
22/02/2019,Friday,Low ODR,High RDR,Min Med Red,Min Med Green,RC,Broken by ADR,UXP,Broken by RDR,UX,No,,ODR Min Med Red,RDR Min Med Green
25/02/2019,Monday,High RDR,Low RDR,Min Med Green,Min Med Red,UXP,Broken by ADR,RX,Broken by RDR,UXP,No,,RDR Min Med Green,RDR Min Med Red
26/02/2019,Tuesday,,,,,,,,,,,,,
27/02/2019,Wednesday,,,,,,,,,,,,,
28/02/2019,Thursday,Low ODR,High RDR,Zero Min Red,Zero Min Green,UX,Broken by ODR,DXP,Broken by RDR,UX,No,Yes,ODR Zero Min Red,RDR Zero Min Green
01/03/2019,Friday,High RDR,Low RDR,Min Med Green,Med Max Red,RC,Broken by RDR,UX,Broken by RDR,U,No,,RDR Min Med Green,RDR Med Max Red
04/03/2019,Monday,High RDR,Low RDR,Min Med Green,Max+ Red,UXP,Broken by ADR,DX,Broken by RDR,RX,No,,RDR Min Med Green,RDR Max+ Red
05/03/2019,Tuesday,High ODR,Low RDR,Zero Min Green,Min Med Red,DXP,Intact,UXP,Broken by ODR,DXP,No,,ODR Zero Min Green,RDR Min Med Red
06/03/2019,Wednesday,High RDR,Low RDR,Zero Min Green,Med Max Red,DX,Broken by ODR,UXP,Broken by ODR,RX,No,Yes,RDR Zero Min Green,RDR Med Max Red
07/03/2019,Thursday,High TRN,Low RDR,Min Med Green,Med Max Red,DXP,Broken by ODR,DXP,Broken by RDR,D,Yes,,TRN Min Med Green,RDR Med Max Red
08/03/2019,Friday,,,,,,,,,,,,,
11/03/2019,Monday,,,,,,,,,,,,,
12/03/2019,Tuesday,,,,,,,,,,,,,
13/03/2019,Wednesday,,,,,,,,,,,,,
14/03/2019,Thursday,High ODR,Low RDR,Med Max Green,Zero Min Red,UXP,Broken by ADR,DXP,Broken by ODR,DX,No,,ODR Med Max Green,RDR Zero Min Red
15/03/2019,Friday,Low TRN,High RDR,Min Med Red,Min Med Green,RC,Intact,UXP,Broken by ODR,UX,No,,TRN Min Med Red,RDR Min Med Green
18/03/2019,Monday,Low RDR,High RDR,Zero Min Red,Min Med Green,UXP,Intact,UXP,Broken by ODR,U,No,,RDR Zero Min Red,RDR Min Med Green
19/03/2019,Tuesday,High RDR,Low RDR,Min Med Green,Med Max Red,UXP,Broken by RDR,UX,Broken by RDR,UXP,No,,RDR Min Med Green,RDR Med Max Red
20/03/2019,Wednesday,,,,,,,,,,,,,
21/03/2019,Thursday,Low TRN,High RDR,Min Med Red,Max+ Green,U,Broken by RDR,DXP,Broken by RDR,UXP,No,,TRN Min Med Red,RDR Max+ Green
22/03/2019,Friday,,,,,,,,,,,,,
25/03/2019,Monday,High RDR,Low RDR,Min Med Green,Min Med Red,DXP,Broken by ODR,DXP,Broken by RDR,RX,Yes,,RDR Min Med Green,RDR Min Med Red
26/03/2019,Tuesday,High RDR,Low RDR,Med Max Green,Zero Min Red,RC,Intact,UX,Broken by RDR,UXP,No,,RDR Med Max Green,RDR Zero Min Red
27/03/2019,Wednesday,High ODR,Low RDR,Min Med Green,Med Max Green,DXP,Broken by ODR,UXP,Broken by RDR,DXP,Yes,,ODR Min Med Green,RDR Med Max Green
28/03/2019,Thursday,High RDR,Low RDR,Min Med Green,Zero Min Red,DXP,Broken by ADR,UX,Broken by RDR,UXP,No,,RDR Min Med Green,RDR Zero Min Red
